0	0	0	0
64	31	24	25
128	239	209	228
192	712	667	736
256	1841	1631	1721
320	3693	3148	3159
384	6178	5752	5643
448	9786	8726	9118
512	14887	15232	14581
576	20303	20145	20048
640	28971	29089	27640
704	36310	37784	35059
768	53427	52779	51851
832	68214	67724	61590
896	90931	90346	83723
960	109114	110788	102177
1024	162623	172639	176621
			
